交易日期,交易类型,成交价,成交股数,成交金额,佣金,印花税,总费用
2024-02-08,初始建仓,162.84,700,113988.0,34.2,0.0,34.2
2024-03-11,加仓(2),180.85,600,108510.0,32.55,0.0,32.55
2024-03-12,加仓(3),185.84,600,111504.0,33.45,0.0,33.45
2024-03-18,加仓(4),190.96,500,95480.0,28.64,0.0,28.64
2024-06-07,信号卖出,193.2,2400,463680.0,139.1,463.68,602.78
2024-07-19,初始建仓,189.44,1000,189440.0,56.83,0.0,56.83
2024-08-02,止损卖出,177.09,1000,177090.0,53.13,177.09,230.22
2024-09-04,初始建仓,187.15,1200,224580.0,67.37,0.0,67.37
2024-09-12,加仓(2),189.35,900,170415.0,51.12,0.0,51.12
2024-09-24,加仓(3),197.52,600,118512.0,35.55,0.0,35.55
2024-09-25,加仓(4),203.1,500,101550.0,30.46,0.0,30.46
2024-11-26,信号卖出,256.72,3200,821504.0,246.45,821.5,1067.96
2025-02-14,初始建仓,269.71,700,188797.0,56.64,0.0,56.64
2025-02-21,加仓(2),275.55,600,165330.0,49.6,0.0,49.6
2025-03-05,信号卖出,260.99,1300,339287.0,101.79,339.29,441.07
2025-05-08,初始建仓,244.57,800,195656.0,58.7,0.0,58.7
2025-05-09,加仓(2),248.27,700,173789.0,52.14,0.0,52.14
2025-05-12,加仓(3),257.0,600,154200.0,46.26,0.0,46.26
2025-05-14,加仓(4),262.6,500,131300.0,39.39,0.0,39.39
2025-05-29,信号卖出,251.85,2600,654810.0,196.44,654.81,851.25
2025-07-03,初始建仓,262.59,1100,288849.0,86.65,0.0,86.65
2025-07-04,加仓(2),265.8,800,212640.0,63.79,0.0,63.79
2025-07-09,加仓(3),270.8,500,135400.0,40.62,0.0,40.62
2025-07-21,加仓(4),279.66,400,111864.0,33.56,0.0,33.56
2025-07-31,止损卖出,264.62,2800,740936.0,222.28,740.94,963.22
2025-08-29,初始建仓,306.18,700,214326.0,64.3,0.0,64.3
2025-09-05,加仓(2),325.11,400,130044.0,39.01,0.0,39.01
2025-09-15,加仓(3),354.7,300,106410.0,31.92,0.0,31.92
2025-09-17,加仓(4),377.1,200,75420.0,22.63,0.0,22.63
2025-10-14,信号卖出,358.0,1600,572800.0,171.84,572.8,744.64
2025-11-13,初始建仓,415.6,400,166240.0,49.87,0.0,49.87
2025-11-18,止损卖出,385.0,400,154000.0,46.2,154.0,200.2
2026-02-12,初始建仓,375.87,500,187935.0,56.38,0.0,56.38
2026-02-26,止损卖出,346.0,500,173000.0,51.9,173.0,224.9
2026-03-11,初始建仓,396.8,400,158720.0,47.62,0.0,47.62
2026-03-16,加仓(2),408.4,400,163360.0,49.01,0.0,49.01
2026-04-03,信号卖出,386.46,800,309168.0,92.75,309.17,401.92
2026-04-13,初始建仓,427.13,300,128139.0,38.44,0.0,38.44
2026-04-16,加仓(2),453.98,300,136194.0,40.86,0.0,40.86
2026-05-18,止损卖出,417.23,600,250338.0,75.1,250.34,325.44
